recv_ts_unix,sender_ts_unix,frame_id,sender_est_oneway_ms,machine_clock_diff_ms,label
1779261484.1357336,1779261483.9272172,678,153.705,208.516,car_A
1779261484.2033927,1779261484.0180936,679,153.024,185.299,car_A
1779261484.2962387,1779261484.1207209,680,147.230,175.518,car_A
1779261484.410521,1779261484.2233858,681,146.519,187.135,car_A
1779261484.4684331,1779261484.3180518,682,148.150,150.381,car_A
1779261484.6012766,1779261484.418009,683,150.046,183.268,car_A
1779261484.7053306,1779261484.5228229,684,148.711,182.508,car_A
1779261484.7812386,1779261484.619605,685,149.786,161.633,car_A
1779261484.875418,1779261484.7183926,686,150.844,157.025,car_A
1779261484.9385328,1779261484.8209689,687,150.260,117.564,car_A
1779261485.1314464,1779261484.91916,688,149.143,212.286,car_A
1779261485.1524713,1779261485.0228138,689,149.846,129.658,car_A
1779261485.2602096,1779261485.1223116,690,100.997,137.898,car_A
1779261485.365642,1779261485.2239385,691,100.997,141.704,car_A
1779261485.5182233,1779261485.3238084,692,100.634,194.415,car_A
1779261485.5982234,1779261485.4191191,693,100.634,179.104,car_A
1779261485.6870902,1779261485.5259464,694,148.479,161.144,car_A
1779261485.792292,1779261485.6264668,695,151.072,165.825,car_A
1779261485.9014735,1779261485.7244453,696,151.397,177.028,car_A
1779261485.9631407,1779261485.8256645,697,152.731,137.476,car_A
1779261486.057157,1779261485.924719,698,149.927,132.438,car_A
1779261486.285145,1779261486.0255835,699,149.198,259.562,car_A
1779261486.3378754,1779261486.1228418,700,150.642,215.034,car_A
1779261486.416106,1779261486.224782,701,99.135,191.324,car_A
1779261486.545953,1779261486.322993,702,99.135,222.960,car_A
1779261486.6302774,1779261486.4214325,703,99.135,208.845,car_A
1779261993.9998157,1779261993.3911293,166,,608.686,car_A
1779261994.3058405,1779261993.887428,171,,418.412,car_A
1779261994.5844858,1779261994.0927162,173,,491.770,car_A
1779261994.8204134,1779261994.3880417,176,350.902,432.372,car_A
1779261995.045355,1779261994.6937127,179,250.368,351.642,car_A
1779261995.2638018,1779261994.8906703,181,300.566,373.132,car_A
1779261995.8766217,1779261995.0938783,183,301.553,782.743,car_A
1779261996.051214,1779261995.3031487,185,250.362,748.065,car_A
1779261996.2022884,1779261995.3887987,186,250.362,813.490,car_A
1779261996.352187,1779261995.989018,192,249.128,363.169,car_A
1779261996.5756412,1779261996.1919296,194,447.639,383.712,car_A
1779261996.7642531,1779261996.3915792,196,452.473,372.674,car_A
1779261996.9871178,1779261996.4955788,197,452.473,491.539,car_A
1779261997.1570792,1779261996.6938138,199,253.344,463.265,car_A
1779261997.3530426,1779261996.890178,201,251.007,462.865,car_A
1779261997.5395217,1779261997.0926397,203,249.361,446.882,car_A
1779261997.6993244,1779261997.2958755,205,298.595,403.449,car_A
1779261997.8810434,1779261997.4929204,207,301.095,388.123,car_A
1779261998.047334,1779261997.6941984,209,301.438,353.136,car_A
1779261998.1971786,1779261997.830199,210,300.846,366.980,car_A
1779261998.376033,1779261997.996341,212,267.248,379.692,car_A
1779261998.5449984,1779261998.1976743,214,251.774,347.324,car_A
1779261998.7790177,1779261998.2975636,215,251.807,481.454,car_A
1779261998.981891,1779261998.6302254,218,249.312,351.665,car_A
1779261999.1929555,1779261998.7295105,219,216.338,463.445,car_A
1779261999.4278316,1779261998.8960288,221,216.338,531.803,car_A
1779261999.6197956,1779261999.0939696,223,299.297,525.826,car_A
1779261999.8379145,1779261999.314044,225,231.937,523.870,car_A
1779262000.0147965,1779261999.495974,227,292.332,518.822,car_A
1779262000.227848,1779261999.6978424,229,361.846,530.006,car_A
1779262000.4088075,1779261999.8990557,231,301.999,509.752,car_A
1779262000.5897079,1779262000.0992362,233,341.394,490.472,car_A
1779262000.7987916,1779262000.2971823,235,301.691,501.609,car_A
1779262000.9657972,1779262000.5012803,237,299.733,464.517,car_A
1779262001.1497092,1779262000.6994631,239,301.177,450.246,car_A
1779262001.3696275,1779262000.8980534,241,300.179,471.574,car_A
1779262001.5535421,1779262001.0989883,243,300.504,454.554,car_A
1779262001.7497756,1779262001.3018575,245,298.919,447.918,car_A
1779262001.9235444,1779262001.5319557,247,301.264,391.589,car_A
1779262002.1354287,1779262001.704139,249,317.023,431.290,car_A
1779262002.3254323,1779262001.9007545,251,302.643,424.678,car_A
1779262002.5525749,1779262001.9978695,252,299.512,554.705,car_A
1779262002.7464669,1779262002.20471,254,233.029,541.757,car_A
1779262002.9996736,1779262002.4029021,256,299.158,596.771,car_A
1779262003.2545457,1779262002.700548,259,251.138,553.998,car_A
1779262003.5065567,1779262002.8011475,260,351.403,705.409,car_A
1779262003.8503895,1779262003.0968196,263,346.928,753.570,car_A
1779262003.965452,1779262003.3136766,265,347.024,651.775,car_A
1779262004.2862651,1779262003.6037285,268,349.458,682.537,car_A
1779262004.560277,1779262003.8342109,270,401.356,726.066,car_A
1779262004.8462627,1779262004.004012,272,401.356,842.251,car_A
1779262005.0992672,1779262004.4009297,276,393.907,698.338,car_A
1779262005.3694806,1779262004.7360017,279,398.663,633.479,car_A
1779262005.637259,1779262004.900994,281,450.959,736.265,car_A
1779262005.89612,1779262005.2169492,284,505.108,679.171,car_A
1779262006.1560469,1779262005.5010087,287,408.072,655.038,car_A
1779262006.4112387,1779262005.7027156,289,382.569,708.523,car_A
1779262006.6879668,1779262006.0006032,292,452.041,687.364,car_A
1779262007.0539765,1779262006.20113,294,391.894,852.847,car_A
1779262007.333995,1779262006.5173872,297,401.274,816.608,car_A
1779262007.6419437,1779262006.8055224,300,407.398,836.421,car_A
1779262007.9360714,1779262007.1029932,303,402.542,833.078,car_A
1779262008.20732,1779262007.4049878,306,503.215,802.332,car_A
1779262008.4729319,1779262007.704301,309,443.868,768.631,car_A
1779262008.7349913,1779262008.0076613,312,503.108,727.330,car_A
1779262008.989763,1779262008.3043833,315,452.394,685.380,car_A
1779262009.251666,1779262008.5028238,317,449.761,748.842,car_A
1779262009.5087347,1779262008.8078396,320,449.463,700.895,car_A
1779262009.7628963,1779262009.1092327,323,400.153,653.664,car_A
1779262010.0186975,1779262009.3197272,325,402.491,698.970,car_A
1779262010.266689,1779262009.610327,328,408.517,656.362,car_A
1779262010.5217664,1779262009.8210452,330,401.306,700.721,car_A
1779262010.7856085,1779262010.1087136,333,397.286,676.895,car_A
1779262011.0306027,1779262010.4062905,336,394.562,624.312,car_A
1779262011.2504988,1779262010.6078763,338,398.050,642.622,car_A
1779262011.5666065,1779262010.8092735,340,393.482,757.333,car_A
1779262011.930805,1779262011.110412,343,400.278,820.393,car_A
1779262012.205476,1779262011.4094417,346,352.122,796.034,car_A
1779262012.5192838,1779262011.6063728,348,400.847,912.911,car_A
1779262012.8405466,1779262012.0108418,352,449.364,829.705,car_A
1779262013.0922508,1779262012.3076606,355,450.279,784.590,car_A
1779262013.3562424,1779262012.6099954,358,449.176,746.247,car_A
1779262013.6171927,1779262012.9134464,361,501.872,703.746,car_A
1779262013.8743382,1779262013.2084875,364,451.366,665.851,car_A
1779262014.1334095,1779262013.433816,366,450.479,699.594,car_A
1779262014.3911078,1779262013.712529,369,411.978,678.579,car_A
1779262014.652011,1779262013.9337444,371,399.606,718.266,car_A
1779262014.898121,1779262014.2128522,374,399.500,685.269,car_A
1779262015.159145,1779262014.5204754,377,389.582,638.670,car_A
1779262015.405511,1779262014.741503,379,404.042,664.008,car_A
1779262015.6949887,1779262015.0174599,382,403.945,677.529,car_A
1779262016.04007,1779262015.235854,384,402.378,804.216,car_A
1779262016.3309517,1779262015.5123265,387,357.752,818.625,car_A
1779262016.6329284,1779262015.8469293,390,385.475,785.999,car_A
1779262016.926968,1779262016.113063,393,414.823,813.905,car_A
1779262017.1740506,1779262016.411414,396,438.669,762.637,car_A
1779262017.456858,1779262016.714277,399,449.608,742.581,car_A
1779262017.7186964,1779262017.0162067,402,433.737,702.490,car_A
1779262017.9778264,1779262017.324343,405,451.637,653.483,car_A
1779262018.237786,1779262017.520872,407,456.533,716.914,car_A
1779262018.4915605,1779262017.849736,410,449.641,641.824,car_A
1779262018.753625,1779262018.0478625,412,416.835,705.762,car_A
1779262019.0046666,1779262018.320487,415,361.827,684.180,car_A
1779262019.2346702,1779262018.5421717,417,399.873,692.498,car_A
1779262019.4737062,1779262018.8175411,420,383.697,656.165,car_A
1779262019.7294896,1779262019.1172724,423,435.036,612.217,car_A
1779262019.9884903,1779262019.3436682,425,398.457,644.822,car_A
1779262020.239648,1779262019.6245227,428,400.810,615.125,car_A
1779262020.4864194,1779262019.8461905,430,403.563,640.229,car_A
1779262020.7415705,1779262020.121926,433,364.523,619.644,car_A
1779262021.0085034,1779262020.359345,435,389.198,649.158,car_A
1779262021.2664886,1779262020.5415678,437,367.470,724.921,car_A
1779262021.5067337,1779262020.8279316,440,395.099,678.802,car_A
1779262021.7453244,1779262021.1244771,443,353.068,620.847,car_A
1779262021.999295,1779262021.3224592,445,382.630,676.836,car_A
1779262022.239464,1779262021.6269977,448,442.253,612.466,car_A
1779262022.4463117,1779262021.824329,450,399.601,621.983,car_A
1779262022.6491718,1779262022.0544953,452,350.005,594.676,car_A
1779262022.9132621,1779262022.3250177,455,416.177,588.244,car_A
1779262023.1311715,1779262022.5286787,457,349.080,602.493,car_A
1779262023.334325,1779262022.7284915,459,352.236,605.834,car_A
1779262023.5912466,1779262023.0247908,462,337.059,566.456,car_A
1779262023.7623913,1779262023.2438934,464,349.954,518.498,car_A
1779262023.963005,1779262023.4286304,466,357.669,534.375,car_A
1779262024.1771915,1779262023.727981,469,350.139,449.210,car_A
1779262024.347047,1779262023.8326693,470,351.659,514.378,car_A
1779262024.5789702,1779262024.0289056,472,345.273,550.065,car_A
1779262024.7279088,1779262024.324436,475,349.789,403.473,car_A
1779262024.9109821,1779262024.571166,477,297.833,339.816,car_A
1779262025.0690587,1779262024.732424,479,297.833,336.635,car_A
1779262025.2669702,1779262024.8338041,480,351.823,433.166,car_A
1779262025.418002,1779262025.034347,482,254.767,383.655,car_A
1779262025.5558443,1779262025.2674785,484,203.334,288.366,car_A
1779262025.7060816,1779262025.4608996,486,203.334,245.182,car_A
1779262026.056756,1779262025.5566611,487,313.616,500.095,car_A
1779262026.1649313,1779262025.6856236,488,261.229,479.308,car_A
1779262026.4168184,1779262025.7495198,489,209.141,667.299,car_A
1779262026.669824,1779262026.0523818,492,208.421,617.442,car_A
1779262952.02774,1779262947.420888,370,,4606.852,car_A
1779262954.0768995,1779262950.9332442,405,,3143.655,car_A
1779262955.1518478,1779262953.335634,429,2555.869,1816.214,car_A
1779262956.794732,1779262954.5341983,441,,2260.534,car_A
1779262957.026868,1779262955.6353815,452,,1391.487,car_A
1779262957.9366782,1779262956.3341286,459,1199.672,1602.550,car_A
1779262958.9936965,1779262957.2542243,468,,1739.472,car_A
1779262960.2975008,1779262957.3468711,469,1360.084,2950.630,car_A
1779262962.0201123,1779262957.9506192,475,904.110,4069.493,car_A
1779262963.0088172,1779262958.7522264,483,,4256.591,car_A
1779262964.1816895,1779262961.2391522,508,,2942.537,car_A
1779262965.141717,1779262962.3544605,519,2147.390,2787.256,car_A
1779262966.4756086,1779262963.2411401,528,2401.519,3234.468,car_A
1779262968.0834322,1779262964.5440786,541,,3539.354,car_A
1779262970.2940853,1779262965.2461102,548,1701.723,5047.975,car_A
1779262971.6480181,1779262966.3460245,559,1645.976,5301.994,car_A
1779262973.0567698,1779262968.0484736,576,2102.973,5008.296,car_A
1779262975.5037918,1779262970.1529667,597,2359.047,5350.825,car_A
1779262977.388529,1779262971.4530516,610,2808.378,5935.477,car_A
1779262979.6930935,1779262972.7701015,623,3055.119,6922.992,car_A
